"Date","Hour ID","Hour Label","Advertiser ID","Advertiser Label","Campaign ID","Campaign Label","Creative ID","Creative Label","Impressions Analyzed (unfiltered)","Impressions Analyzed (filtered for GIVT)","Impressions Analyzed","Human and Viewable Rate","Human and AVOC Rate","Human, Audible & Fully On-Screen for Half of Duration (15 sec. cap) Rate","Averaged Ad Length (sec)","% of Video Played In-View","In-View Time (sec)","Exposure Time (sec)","Reached Complete Rate","Completion Quality"
"2017-02-08","00","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","147659900281","Machu Pichu","1228","1186","1183","89.66%","18.99%","27.21%","22.67","47.99%","10.92","11080.97","23.41%","81.13%"
"2017-02-17","13","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1244","1187","1183","91.25%","37.61%","49.05%","18.72","63.43%","11.84","12471.59","43.15%","87.15%"
"2017-02-09","00","","3135035627","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","1237","1187","1183","85.60%","25.29%","34.94%","15.06","59.19%","8.83","8610.75","35.38%","71.46%"
"2017-02-10","08","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","149150729454","Machu Pichu","1243","1185","1182","93.55%","21.41%","31.99%","22.78","50.57%","11.42","12427.36","24.33%","87.99%"
"2017-02-24","16","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","1276","1186","1182","84.18%","37.94%","45.28%","20.01","64.59%","13.03","12545.81","48.43%","78.34%"
"2017-02-08","12","","8411425232","Old Spice Perú YT IO 22232","731224205","IO22232_PE_Old Spice_Citron_GO_YT_Jan-Jun_CPV_POME_FY1617_InStream_Machu Pichu","154497041909","Machu Pichu","1229","1187","1182","86.12%","17.24%","28.22%","22.64","46.90%","10.58","10044.02","23.50%","73.36%"
"2017-02-04","08","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","132290166237","Machu Pichu","1227","1192","1182","93.65%","24.98%","37.33%","22.79","53.17%","12.1","12837.95","27.80%","89.84%"
"2017-02-04","00","","8411425232","Old Spice Perú YT IO 22232","731224205","IO22232_PE_Old Spice_Citron_GO_YT_Jan-Jun_CPV_POME_FY1617_InStream_Machu Pichu","154497041909","Machu Pichu","1241","1206","1181","86.71%","24.26%","33.18%","22.59","51.72%","11.7","11368.99","30.69%","79.07%"
"2017-02-05","00","","8411425232","Old Spice Perú YT IO 22232","739584367","IO22232_PE_Old Spice_Franda_GO_YT_Jan- Feb_CPV_POME_FY1617_InStream","164375393208","Franda","1242","1195","1180","90.32%","5.79%","34.40%","242.52","16.25%","39.27","41038.86","7.26%","79.76%"
"2017-02-27","07","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","1257","1180","1179","93.19%","34.41%","45.94%","20.05","62.51%","12.59","13433.58","38.78%","88.74%"
"2017-02-15","08","","7313193630","Pantene","743864079","Pantene - 3MM Selena - Feb17","166967409834","Nuevo acondicionador 3 Minutes Miracle de Pantene","1251","1183","1178","92.25%","26.54%","31.88%","30.11","46.92%","14.12","14629.52","30.54%","86.88%"
"2017-02-25","15","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1237","1181","1178","89.36%","35.71%","41.25%","18.68","61.19%","11.34","11517.28","41.86%","85.29%"
"2017-02-10","13","","8411425232","Old Spice Perú YT IO 22232","731224205","IO22232_PE_Old Spice_Citron_GO_YT_Jan-Jun_CPV_POME_FY1617_InStream_Machu Pichu","154497041909","Machu Pichu","1265","1185","1177","87.97%","20.68%","32.00%","22.6","50.75%","11.42","11267.08","27.36%","75.57%"
"2017-02-02","03","","3135035627","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","1176","1176","1176","93.45%","28.26%","41.54%","15.04","61.64%","9.13","9629.26","32.60%","86.68%"
"2017-02-24","15","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","1258","1179","1176","81.11%","35.39%","42.45%","20.01","63.77%","12.81","11768.01","46.34%","76.38%"
"2017-02-03","22","","7216555334","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","1176","1176","1176","87.42%","23.00%","32.08%","21.75","51.14%","10.95","10650.61","28.57%","80.50%"
"2017-02-07","13","","8411425232","Old Spice Perú YT IO 22232","739584367","IO22232_PE_Old Spice_Franda_GO_YT_Jan- Feb_CPV_POME_FY1617_InStream","155631338830","Franda","1185","1183","1175","92.88%","2.09%","17.72%","242.79","10.64%","25.76","27536.5","3.04%","68.57%"
"2017-02-11","15","","8411425232","Old Spice Perú YT IO 22232","739584367","IO22232_PE_Old Spice_Franda_GO_YT_Jan- Feb_CPV_POME_FY1617_InStream","164375393208","Franda","1281","1178","1175","87.70%","5.97%","27.81%","242.6","15.69%","38.66","38038.9","8.11%","73.63%"
"2017-02-22","15","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1221","1178","1175","87.79%","30.14%","39.46%","18.66","58.69%","10.93","10915.14","39.63%","76.05%"
"2017-02-18","11","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","149150729454","Machu Pichu","1253","1178","1175","91.34%","26.16%","38.93%","22.76","54.75%","12.51","13056.42","30.53%","85.67%"
